start,start_time,end,end_time
Mariehamn,2023-05-17 11:27:14,Stockholm,2023-05-17 16:53:16
Stockholm,2023-05-17 18:18:36,Turku,2023-05-18 04:35:26
Turku,2023-05-18 05:55:46,Mariehamn,2023-05-18 11:21:44
Mariehamn,2023-05-18 11:46:04,Stockholm,2023-05-18 17:02:53
Stockholm,2023-05-18 18:08:05,Turku,2023-05-19 04:39:52
Turku,2023-05-19 05:45:02,Mariehamn,2023-05-19 11:11:07
Mariehamn,2023-05-19 11:26:16,Stockholm,2023-05-19 16:57:07
Stockholm,2023-05-19 18:02:18,Turku,2023-05-20 04:39:14
Turku,2023-05-20 05:44:30,Mariehamn,2023-05-20 11:10:22
Mariehamn,2023-05-20 11:35:36,Stockholm,2023-05-20 16:56:44
Stockholm,2023-05-20 17:56:53,Turku,2023-05-21 04:38:43
Turku,2023-05-21 05:49:04,Mariehamn,2023-05-21 11:09:33
Mariehamn,2023-05-21 11:34:20,Stockholm,2023-05-21 16:55:46
Stockholm,2023-05-21 18:21:06,Turku,2023-05-22 04:37:39
Turku,2023-05-22 05:47:56,Mariehamn,2023-05-22 11:13:50
Mariehamn,2023-05-22 11:28:41,Stockholm,2023-05-22 16:54:48
Stockholm,2023-05-22 18:10:03,Turku,2023-05-23 04:36:50
Turku,2023-05-23 05:52:00,Mariehamn,2023-05-23 11:13:06
Mariehamn,2023-05-23 11:28:04,Stockholm,2023-05-23 16:54:11
Stockholm,2023-05-23 18:04:21,Turku,2023-05-24 04:31:27
Turku,2023-05-24 05:46:39,Mariehamn,2023-05-24 11:12:30
Mariehamn,2023-05-24 11:37:48,Stockholm,2023-05-24 16:53:47
Stockholm,2023-05-24 18:08:58,Turku,2023-05-25 04:35:57
Turku,2023-05-25 05:46:07,Mariehamn,2023-05-25 11:12:09
Mariehamn,2023-05-25 11:32:16,Stockholm,2023-05-25 16:53:05
Stockholm,2023-05-25 18:18:16,Turku,2023-05-26 04:35:05
Turku,2023-05-26 05:45:20,Mariehamn,2023-05-26 11:15:46
Mariehamn,2023-05-26 11:36:16,Stockholm,2023-05-26 16:52:06
Stockholm,2023-05-26 18:02:16,Turku,2023-05-27 04:39:04
Turku,2023-05-27 05:49:22,Mariehamn,2023-05-27 11:10:17
Mariehamn,2023-05-27 11:30:12,Stockholm,2023-05-27 16:56:10
Stockholm,2023-05-27 17:56:29,Turku,2023-05-28 04:38:07
Turku,2023-05-28 05:43:15,Mariehamn,2023-05-28 11:08:47
Mariehamn,2023-05-28 11:29:19,Stockholm,2023-05-28 16:55:23
Stockholm,2023-05-28 18:05:34,Turku,2023-05-29 04:37:33
Turku,2023-05-29 05:47:47,Mariehamn,2023-05-29 11:13:19
Mariehamn,2023-05-29 11:28:30,Stockholm,2023-05-29 16:59:50
Stockholm,2023-05-29 18:10:10,Turku,2023-05-30 04:36:56
Turku,2023-05-30 05:42:12,Mariehamn,2023-05-30 11:13:12
Mariehamn,2023-05-30 11:26:46,Stockholm,2023-05-30 16:59:19
Stockholm,2023-05-30 18:04:27,Turku,2023-05-31 04:36:26
Turku,2023-05-31 05:46:35,Mariehamn,2023-05-31 11:12:25
Mariehamn,2023-05-31 11:26:40,Stockholm,2023-05-31 16:53:30
Stockholm,2023-05-31 18:08:39,Turku,2023-06-01 04:35:30
Turku,2023-06-01 05:45:41,Mariehamn,2023-06-01 11:16:24
Mariehamn,2023-06-01 11:36:35,Stockholm,2023-06-01 16:52:20
Stockholm,2023-06-01 18:22:40,Turku,2023-06-02 04:39:12
Turku,2023-06-02 05:44:23,Mariehamn,2023-06-02 11:15:26
Mariehamn,2023-06-02 11:34:54,Stockholm,2023-06-02 16:51:33
Stockholm,2023-06-02 18:26:53,Turku,2023-06-03 04:38:37
Turku,2023-06-03 05:43:48,Mariehamn,2023-06-03 11:14:49
Mariehamn,2023-06-03 11:34:57,Stockholm,2023-06-03 16:55:52
Stockholm,2023-06-03 18:01:02,Turku,2023-06-04 04:38:00
Turku,2023-06-04 05:48:10,Mariehamn,2023-06-04 11:13:29
Mariehamn,2023-06-04 11:28:14,Stockholm,2023-06-04 17:00:09
Stockholm,2023-06-04 18:00:19,Turku,2023-06-05 04:37:09
Turku,2023-06-05 05:47:19,Mariehamn,2023-06-05 11:13:16
Mariehamn,2023-06-05 11:28:16,Stockholm,2023-06-05 16:59:10
Stockholm,2023-06-05 18:04:30,Turku,2023-06-06 04:36:14
Turku,2023-06-06 05:56:30,Mariehamn,2023-06-06 11:12:30
Mariehamn,2023-06-06 11:32:31,Stockholm,2023-06-06 16:53:32
Stockholm,2023-06-06 17:58:47,Turku,2023-06-07 04:35:32
Turku,2023-06-07 05:55:41,Mariehamn,2023-06-07 11:11:43
Mariehamn,2023-06-07 11:31:45,Stockholm,2023-06-07 17:12:47
Stockholm,2023-06-07 18:37:57,Turku,2023-06-08 04:34:44
Turku,2023-06-08 05:49:55,Mariehamn,2023-06-08 11:10:57
Mariehamn,2023-06-08 11:36:01,Stockholm,2023-06-08 16:57:03
Stockholm,2023-06-08 18:07:14,Turku,2023-06-09 04:39:04
Turku,2023-06-09 05:44:20,Mariehamn,2023-06-09 11:15:24
Mariehamn,2023-06-09 11:40:28,Stockholm,2023-06-09 17:01:14
Stockholm,2023-06-09 18:06:24,Turku,2023-06-10 04:38:09
Turku,2023-06-10 05:48:20,Mariehamn,2023-06-10 11:09:13
Mariehamn,2023-06-10 11:34:21,Stockholm,2023-06-10 17:00:20
Stockholm,2023-06-10 18:00:29,Turku,2023-06-11 04:37:20
Turku,2023-06-11 05:47:29,Mariehamn,2023-06-11 11:08:22
Mariehamn,2023-06-11 11:28:28,Stockholm,2023-06-11 16:59:34
