start,start_time,end,end_time
Helsinki,2023-04-10 13:15:42,Tallinn,2023-04-10 15:31:13
Tallinn,2023-04-10 16:21:17,Helsinki,2023-04-10 18:36:44
Helsinki,2023-04-10 19:16:57,Tallinn,2023-04-10 21:36:55
Tallinn,2023-04-11 04:18:55,Helsinki,2023-04-11 06:34:21
Helsinki,2023-04-11 07:19:32,Tallinn,2023-04-11 09:33:36
Tallinn,2023-04-11 10:20:12,Helsinki,2023-04-11 12:35:38
Helsinki,2023-04-11 13:20:52,Tallinn,2023-04-11 15:31:19
Tallinn,2023-04-11 16:16:30,Helsinki,2023-04-11 18:36:52
Helsinki,2023-04-11 19:52:13,Tallinn,2023-04-11 22:02:33
Tallinn,2023-04-12 04:13:44,Helsinki,2023-04-12 06:34:19
Helsinki,2023-04-12 07:19:29,Tallinn,2023-04-12 09:33:41
Tallinn,2023-04-12 10:25:03,Helsinki,2023-04-12 12:35:21
Helsinki,2023-04-12 13:20:33,Tallinn,2023-04-12 15:33:26
Tallinn,2023-04-12 16:21:01,Helsinki,2023-04-12 18:36:35
Helsinki,2023-04-12 19:16:38,Tallinn,2023-04-12 21:36:57
Tallinn,2023-04-13 04:18:11,Helsinki,2023-04-13 06:48:38
Helsinki,2023-04-13 07:18:42,Tallinn,2023-04-13 09:33:30
Tallinn,2023-04-13 10:14:15,Helsinki,2023-04-13 12:39:45
Helsinki,2023-04-13 13:29:49,Tallinn,2023-04-13 15:34:31
Tallinn,2023-04-13 16:15:22,Helsinki,2023-04-13 18:35:41
Helsinki,2023-04-13 19:25:52,Tallinn,2023-04-13 21:36:11
Tallinn,2023-04-14 04:17:29,Helsinki,2023-04-14 06:37:48
Helsinki,2023-04-14 07:18:01,Tallinn,2023-04-14 09:33:03
Tallinn,2023-04-14 10:18:39,Helsinki,2023-04-14 12:43:43
Helsinki,2023-04-14 13:29:11,Tallinn,2023-04-14 15:34:08
Tallinn,2023-04-14 16:19:52,Helsinki,2023-04-14 18:40:06
Helsinki,2023-04-14 19:20:23,Tallinn,2023-04-14 21:30:46
Tallinn,2023-04-15 04:22:01,Helsinki,2023-04-15 06:37:39
Helsinki,2023-04-15 07:17:47,Tallinn,2023-04-15 09:32:43
Tallinn,2023-04-15 10:18:20,Helsinki,2023-04-15 12:37:12
Helsinki,2023-04-15 13:18:53,Tallinn,2023-04-15 15:34:14
Tallinn,2023-04-15 16:19:22,Helsinki,2023-04-15 18:34:53
Helsinki,2023-04-15 19:15:00,Tallinn,2023-04-15 21:30:24
Tallinn,2023-04-16 04:16:35,Helsinki,2023-04-16 06:35:16
Helsinki,2023-04-16 07:17:11,Tallinn,2023-04-16 09:30:24
Tallinn,2023-04-16 10:17:45,Helsinki,2023-04-16 12:33:07
Helsinki,2023-04-16 13:18:12,Tallinn,2023-04-16 15:28:43
Tallinn,2023-04-16 16:28:57,Helsinki,2023-04-16 18:44:00
Helsinki,2023-04-16 19:14:33,Tallinn,2023-04-16 21:29:53
Tallinn,2023-04-17 04:16:04,Helsinki,2023-04-17 06:31:28
Helsinki,2023-04-17 07:16:38,Tallinn,2023-04-17 09:32:08
Tallinn,2023-04-17 10:17:08,Helsinki,2023-04-17 12:32:39
Helsinki,2023-04-17 13:17:48,Tallinn,2023-04-17 15:28:14
Tallinn,2023-04-17 16:18:24,Helsinki,2023-04-17 18:33:50
Helsinki,2023-04-17 19:18:55,Tallinn,2023-04-17 21:29:14
Tallinn,2023-04-18 04:20:40,Helsinki,2023-04-18 06:35:57
Helsinki,2023-04-18 07:16:01,Tallinn,2023-04-18 09:31:29
Tallinn,2023-04-18 10:16:37,Helsinki,2023-04-18 12:32:02
Helsinki,2023-04-18 13:17:18,Tallinn,2023-04-18 15:27:39
Tallinn,2023-04-18 16:17:47,Helsinki,2023-04-18 18:38:22
Helsinki,2023-04-18 19:53:34,Tallinn,2023-04-18 21:58:52
Tallinn,2023-04-19 04:20:14,Helsinki,2023-04-19 06:35:39
Helsinki,2023-04-19 07:15:42,Tallinn,2023-04-19 09:31:12
Tallinn,2023-04-19 10:16:24,Helsinki,2023-04-19 12:36:49
Helsinki,2023-04-19 13:16:58,Tallinn,2023-04-19 15:32:21
Tallinn,2023-04-19 16:27:35,Helsinki,2023-04-19 18:33:06
Helsinki,2023-04-19 19:18:12,Tallinn,2023-04-19 21:33:43
Tallinn,2023-04-20 04:19:55,Helsinki,2023-04-20 06:35:19
Helsinki,2023-04-20 07:15:23,Tallinn,2023-04-20 09:30:56
Tallinn,2023-04-20 10:16:05,Helsinki,2023-04-20 12:36:24
Helsinki,2023-04-20 13:26:34,Tallinn,2023-04-20 15:36:52
Tallinn,2023-04-20 16:17:15,Helsinki,2023-04-20 18:32:42
Helsinki,2023-04-20 19:17:55,Tallinn,2023-04-20 21:33:18
Tallinn,2023-04-21 04:14:35,Helsinki,2023-04-21 06:35:07
Helsinki,2023-04-21 07:15:15,Tallinn,2023-04-21 09:35:43
Tallinn,2023-04-21 10:15:52,Helsinki,2023-04-21 12:36:21
Helsinki,2023-04-21 13:21:33,Tallinn,2023-04-21 15:36:21
Tallinn,2023-04-21 16:17:07,Helsinki,2023-04-21 18:32:31
Helsinki,2023-04-21 19:17:43,Tallinn,2023-04-21 21:33:13
Tallinn,2023-04-22 04:18:44,Helsinki,2023-04-22 06:34:59
Helsinki,2023-04-22 07:20:13,Tallinn,2023-04-22 09:30:35
Tallinn,2023-04-22 10:15:44,Helsinki,2023-04-22 12:36:07
Helsinki,2023-04-22 13:16:26,Tallinn,2023-04-22 15:31:45
Tallinn,2023-04-22 16:16:59,Helsinki,2023-04-22 18:32:30
Helsinki,2023-04-22 19:17:40,Tallinn,2023-04-22 21:33:01
Tallinn,2023-04-23 04:19:18,Helsinki,2023-04-23 06:34:45
Helsinki,2023-04-23 07:14:55,Tallinn,2023-04-23 09:35:26
Tallinn,2023-04-23 10:20:38,Helsinki,2023-04-23 12:36:05
Helsinki,2023-04-23 13:16:15,Tallinn,2023-04-23 15:31:35
Tallinn,2023-04-23 16:21:49,Helsinki,2023-04-23 18:36:06
Helsinki,2023-04-23 19:17:14,Tallinn,2023-04-23 21:32:38
Tallinn,2023-04-24 04:19:00,Helsinki,2023-04-24 06:34:30
Helsinki,2023-04-24 07:14:39,Tallinn,2023-04-24 09:35:07
Tallinn,2023-04-24 10:20:18,Helsinki,2023-04-24 12:35:43
Helsinki,2023-04-24 13:15:50,Tallinn,2023-04-24 15:36:11
Tallinn,2023-04-24 16:26:23,Helsinki,2023-04-24 18:36:44
