start,start_time,end,end_time
Trelleborg,2023-08-08 20:02:52,Travemunde,2023-08-09 05:24:34
Travemunde,2023-08-09 07:40:03,Trelleborg,2023-08-09 15:51:41
Trelleborg,2023-08-09 19:57:23,Travemunde,2023-08-10 05:23:56
Travemunde,2023-08-10 07:34:33,Trelleborg,2023-08-10 15:30:58
Trelleborg,2023-08-10 19:56:52,Travemunde,2023-08-11 05:23:34
Travemunde,2023-08-11 07:34:03,Trelleborg,2023-08-11 15:15:25
Trelleborg,2023-08-11 19:51:19,Travemunde,2023-08-12 05:23:10
Travemunde,2023-08-12 07:33:36,Trelleborg,2023-08-12 15:45:16
Trelleborg,2023-08-12 19:51:00,Travemunde,2023-08-13 05:22:46
Travemunde,2023-08-13 07:28:10,Trelleborg,2023-08-13 15:14:56
Trelleborg,2023-08-13 19:50:34,Travemunde,2023-08-14 05:32:28
Travemunde,2023-08-14 07:27:52,Trelleborg,2023-08-14 15:44:27
Trelleborg,2023-08-14 19:35:09,Travemunde,2023-08-15 04:57:07
Travemunde,2023-08-15 07:27:38,Trelleborg,2023-08-15 16:24:08
Trelleborg,2023-08-15 19:54:55,Travemunde,2023-08-16 05:21:44
Travemunde,2023-08-16 08:07:13,Trelleborg,2023-08-16 15:43:50
Trelleborg,2023-08-16 20:34:57,Travemunde,2023-08-17 05:25:44
Travemunde,2023-08-17 07:31:56,Trelleborg,2023-08-17 16:28:45
Trelleborg,2023-08-17 19:59:30,Travemunde,2023-08-18 05:31:19
Travemunde,2023-08-18 07:31:47,Trelleborg,2023-08-18 16:28:38
